jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
10:00,9,9.4,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,82.5,Tinggi,26.6,+/-0.52,70.24,+/-4.74,0.27,+/-0.52,26.36,+/-0.23,32.4,22.9,10.6,34.0,0.0,0.0
13:00,9,9.4,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,83.7,Tinggi,27.03,+/-2.15,70.88,+/-8.2,0.53,+/-0.56,29.15,+/-4.96,0.0,19.7,25.5,43.1,0.0,11.7
16:00,9,9.4,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,82.3,Tinggi,25.25,+/-1.44,77.87,+/-2.35,0.19,+/-0.37,25.21,+/-1.77,0.0,10.6,34.0,21.8,10.6,22.9
19:00,9,9.4,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,83.9,Tinggi,23.84,+/-1.51,85.47,+/-4.0,0.59,+/-1.2,23.4,+/-0.94,0.0,25.0,43.6,19.7,11.7,0.0
22:00,9,9.4,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,92.8,Tinggi,22.6,+/-1.75,89.24,+/-4.74,0.05,+/-0.14,22.6,+/-1.75,0.0,14.4,76.6,9.0,0.0,0.0
