location_slug,location_name,target_date,jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
dago__bandung,"Dago, Bandung",2026-04-30,10:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.0,Tinggi,26.42,+/-0.65,70.53,+/-5.45,0.02,+/-0.07,26.19,+/-0.36,0.0,34.8,53.8,11.4,0.0,0.0
dago__bandung,"Dago, Bandung",2026-04-30,13:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,82.8,Tinggi,26.49,+/-2.32,74.91,+/-6.12,1.04,+/-1.2,28.25,+/-4.7,0.0,0.0,29.3,47.9,0.0,22.7
dago__bandung,"Dago, Bandung",2026-04-30,16:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,86.7,Tinggi,25.61,+/-1.85,80.31,+/-4.7,0.44,+/-0.49,25.24,+/-1.65,0.0,0.0,16.8,59.9,11.4,11.9
dago__bandung,"Dago, Bandung",2026-04-30,19:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,85.9,Tinggi,23.42,+/-1.55,91.82,+/-1.92,0.04,+/-0.08,22.91,+/-0.93,0.0,11.4,53.9,22.2,12.5,0.0
dago__bandung,"Dago, Bandung",2026-04-30,22:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,91.4,Tinggi,22.79,+/-1.68,94.28,+/-1.42,0.1,+/-0.15,22.79,+/-1.68,0.0,0.0,76.1,23.9,0.0,0.0
